Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Status
AA,05-10-2023,2651,N831AW,CLT,06:45,06:44,-1
AA,05-10-2023,2730,N831AW,CLT,11:04,11:03,-1
AA,05-10-2024,2311,N124US,DFW,16:30,16:26,-4
AA,05-10-2024,2348,N724UW,CLT,07:06,07:04,-2
AA,05-10-2024,2416,N755US,CLT,18:39,21:31,172
AA,05-11-2023,739,N820AW,DFW,16:28,16:37,9
AA,05-11-2023,750,N712US,CLT,20:21,20:11,-10
AA,05-11-2023,769,N768US,CLT,14:37,14:40,3
AA,05-11-2023,2651,N738US,CLT,06:45,06:46,1
AA,05-11-2023,2730,N752US,CLT,11:04,11:15,11
AA,05-11-2024,2311,N664AW,DFW,16:30,16:52,22
AA,05-11-2024,2348,N802AW,CLT,07:06,07:03,-3
AA,05-11-2024,2416,N721UW,CLT,19:48,19:43,-5
AA,05-12-2023,739,N773XF,DFW,16:28,19:00,152
AA,05-12-2023,750,N737US,CLT,20:21,20:11,-10
AA,05-12-2023,769,N775XF,CLT,14:37,14:35,-2
AA,05-12-2023,2651,N752US,CLT,06:45,07:07,22
AA,05-12-2023,2730,N724UW,CLT,11:04,11:10,6
AA,05-12-2024,2311,N119US,DFW,16:30,18:40,130
AA,05-12-2024,2348,N804AW,CLT,07:06,07:01,-5
AA,05-12-2024,2416,N802AW,CLT,18:32,18:49,17
AA,05/13/2023,739,N836AW,DFW,16:28,16:30,2
AA,05/13/2023,2651,N724UW,CLT,06:45,06:57,12
AA,05/13/2024,2311,N663AW,DFW,16:30,17:07,37
AA,05/13/2024,2348,N716UW,CLT,07:06,07:17,11
AA,05/13/2024,2416,N749US,CLT,18:32,18:33,1
AA,05/14/2023,739,N730US,DFW,16:28,16:59,31
AA,05/14/2023,750,N742PS,CLT,20:21,20:31,10
AA,05/14/2023,769,N822AW,CLT,14:34,18:06,212
AA,05/14/2023,2651,N748UW,CLT,06:45,06:47,2
AA,05/14/2023,2730,N703UW,CLT,11:04,11:04,0
AA,05/14/2024,2311,N121UW,DFW,16:30,16:29,-1
